Search Term,Tweet Text,URL
buzzfeed,RT @BuzzFeedLGBT: This Stunning Photo Series Is Highlighting The Experiences Of LGBT African Immigrants https://t.co/LnON3Rp1hj https://t.c…,https://www.buzzfeed.com/skarlan/this-stunning-photo-series-is-highlighting-the-experiences-o?utm_term=.mnVaayQJPr#.dtbVVemDBG
buzzfeed,RT @z_khx: Was watching buzzfeed food videos and my mum thought I was texting a guy wow https://t.co/KHUVFWnfeN,
buzzfeed,RT @1199SEIU: Congressional leadership plan for #ACA? Provide tax breaks to insurance CEOs. More than ever we need #CareNotChaos https://t.…,
buzzfeed,RT @BuzzFeedBrasil: 17 maneiras simples de demonstrar amor a si mesmo https://t.co/KSGrsaUaci https://t.co/uKXRGzfRLf,http://bzfd.it/2lPvTdu
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,@Brianatdolittle @LeamTherapy @BuzzFeed You are brilliant Brian!! Re you going tomorrow to @WomanWhoAwards event? #warwickhour,
buzzfeed,"What Would Your Gem Be In “Steven Universe” i guess a Quartz..
#stevenuniverse #su #quartz
https://t.co/xSvYZtu2hk via @anjapatel",https://www.buzzfeed.com/anjalipatel/what-would-your-gem-be-in-steven-universe?utm_term=.plVXGORWY
buzzfeed,34 Things You Can Improve With A Sharpie ~ https://t.co/z65WvSeP8W via @cindyvriend @GWPStaff,http://smq.tc/10ziZmP
buzzfeed,What the hell @Marvel. REALLY? Are we still doing this? https://t.co/p4qsVjwEp7,https://twitter.com/BuzzFeed/status/839185369551687680
buzzfeed,"No, WikiLeaks Didn't Just Reveal That The Government Has Access To Your Secure Messaging Apps | #IntelGroup https://t.co/cq0yvDtydI",http://ift.tt/1ob0j5Z
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,"RT @funder: Sources: Donald Trump Listened In On All Phone Lines At Mar-A-Lago

#trumprussia #resist #russiagate #trumpcare https://t.co/zp…",
buzzfeed,RT @ChicagoReporter: Series of fires by arson at mosques around the country build on recent surge of hate crimes ag. religious minorities h…,
